phrase	count	pmi	parts_gloss	ref
דאתה אה מרנ	4	13.25	אישה, woman · הנה · אדוננו	פיוט #5 — אזל שלם יום שבתה
מרנ טב ורחמנ	4	17.75	אדוננו · gem, אבן טובה · אוהב, חביב	פיוט #5 — אזל שלם יום שבתה
טב ורחמנ ורתאה	4	20.12	gem, אבן טובה · אוהב, חביב · PON M	פיוט #5 — אזל שלם יום שבתה
מרי דת קעמ עמנ	4	29.92	אדון (נאמר על האלוהים) · דת · might · עמנו	פיוט #5 — אזל שלם יום שבתה
דת קעמ עמנ באיממה	4	35.75	דת · might · עמנו · יום	פיוט #5 — אזל שלם יום שבתה
קעמ עמנ באיממה וסעד	4	39.7	might · עמנו · יום · עדות	פיוט #5 — אזל שלם יום שבתה
עמנ באיממה וסעד לנ	4	37.45	עמנו · יום · עדות · עלינו	פיוט #5 — אזל שלם יום שבתה
באיממה וסעד לנ בחלק	4	39.71	יום · עדות · עלינו · חלק, מנה (1)	פיוט #5 — אזל שלם יום שבתה
וסעד לנ בחלק ליליה	4	39.71	עדות · עלינו · חלק, מנה (1) · מאיר, מנהיר בלילה ובאמ	פיוט #5 — אזל שלם יום שבתה
נקומ עורי מנ שנתנ	4	28.86	עמידה, קיום, ישות · דברים · דברים · חורבן, קלקול	פיוט #5 — אזל שלם יום שבתה
עורי מנ שנתנ ונימר	4	27.52	דברים · דברים · חורבן, קלקול · ונאמר	פיוט #5 — אזל שלם יום שבתה
מנ שנתנ ונימר לכ	4	23.16	דברים · חורבן, קלקול · ונאמר · אותך	פיוט #5 — אזל שלם יום שבתה
שנתנ ונימר לכ רבואנ	4	31.08	חורבן, קלקול · ונאמר · אותך · עשרת אלפים	פיוט #5 — אזל שלם יום שבתה
ונימר לכ רבואנ ואודהואנ	4	32.66	ונאמר · אותך · עשרת אלפים · תורה	פיוט #5 — אזל שלם יום שבתה
לכ רבואנ ואודהואנ ותשבחנ	4	35.05	אותך · עשרת אלפים · תורה · תהילות, שבחים	פיוט #5 — אזל שלם יום שבתה
מרנ טב ורחמנ ורתאה	4	29.83	אדוננו · gem, אבן טובה · אוהב, חביב · PON M	פיוט #5 — אזל שלם יום שבתה
פמ דבה	4	7.7	פה (בלשון יחיד) · שבו	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
דבה ממלל	4	7.42	שבו · דיבור, דבר (1)	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
קריכ דת	4	11.59	פליטת זרע (הלוואה מעבר · דת	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
אתה אלה	4	1.16	אישה, woman · אלוהות, God	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
אלה לעלמ	4	1.63	אלוהות, God · לעולם, לנצח	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
סוברנ ברחמיכ	4	10.77	לתמוך, לסבול, לשאת · אהבה, חמלה	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
תנשי עקבאי	4	13.95	לשכוח (forgetting) · עקבי, הנוגע לעקב	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
צפי לנ	4	6.59	רצון, חפץ · עלינו	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
וטובכ יתיר	4	12.35	gem, אבן טובה · שיור, עודף, יתרה	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
יתיר על	4	5.56	שיור, עודף, יתרה · על (מילת יחס)	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
פמ דבה ממלל	4	19.39	פה (בלשון יחיד) · שבו · דיבור, דבר (1)	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
קריכ דת רחמנ	4	22.44	פליטת זרע (הלוואה מעבר · דת · רחום	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
סבול דלא מנכי	4	21.26	נטל, עול, משא · בטרם, לפני · מנוצח, מוכה	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
ולא תנשי עקבאי	4	21.39	מילת שלילה והאיסור · לשכוח (forgetting) · עקבי, הנוגע לעקב	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
וטובכ יתיר על	4	18.71	gem, אבן טובה · שיור, עודף, יתרה · על (מילת יחס)	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
עבודה דעלמה אלהימ יסתגד	4	31.83	בורא, יוצר · העולם · אלוהים, אל · יסתגד	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
כל פמ דבה ממלל	4	26.01	כל, כולו · פה (בלשון יחיד) · שבו · דיבור, דבר (1)	פיוט #6 — צלות מרקה — עבודה דעלמה אלהים יסתגד
מנ דוש	4	3.61	דברים · עבודה בשדה, threshing,	פיוט #7 — עבודה דעלמה מן ישום רביאנך (דורן)
יהב לנ	4	6.71	נתן, לתת · עלינו	פיוט #7 — עבודה דעלמה מן ישום רביאנך (דורן)
יומי בריתה	4	7.56	יום · הבריאה	פיוט #7 — עבודה דעלמה מן ישום רביאנך (דורן)
לבר ביתה	4	9.8	מנהל הבית, אפוטרופוס · בושה	פיוט #7 — עבודה דעלמה מן ישום רביאנך (דורן)
תהומ ממלל	4	9.22	תהום, אביס · דיבור, דבר (1)	פיוט #7 — עבודה דעלמה מן ישום רביאנך (דורן)
דעלמה מנ ישומ	4	14.95	העולם · דברים · יוכל	פיוט #7 — עבודה דעלמה מן ישום רביאנך (דורן)
דעלמה מנ ישומ רביאנכ	4	28.56	העולם · דברים · יוכל · עשרת אלפים	פיוט #7 — עבודה דעלמה מן ישום רביאנך (דורן)
מטלטל כל	4	4.53	מטלטל · כל, כולו	פיוט #8 — אתי בשלם
בכורי מצראי	4	10.32	ראשון ללידה, פירות ראש · המצרים	פיוט #8 — אתי בשלם
חתמ לא	4	5.47	סגירה, אטימה, חתימה (c · מילת שלילה והאיסור	פיוט #8 — אתי בשלם
מנ ארע	4	3.48	דברים · ארץ, אדמה	פיוט #8 — אתי בשלם
ארע מצרימ	4	8.54	ארץ, אדמה · מצרים	פיוט #8 — אתי בשלם
לעלמ לא מטלטל	4	14.6	לעולם, לנצח · מילת שלילה והאיסור · מטלטל	פיוט #8 — אתי בשלם
כוננו ירכ	4	12.36	סתר, שם יוסף כינוני המ · החלק העליון ברגל, ירך	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
וברוכ שטו	4	8.87	ברכה, blessing · שטו - שטו	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
שטו לעולמ	4	8.08	שטו - שטו · לנצח, לעולם	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
לעולמ אינ	4	5.13	לנצח, לעולם · אין	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ואמרימ לית	4	5.01	1. אמירה, דיבור, מוצא  · שלילת קיום: אין, לא קי	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
הרחומימ אל	4	4.18	רחום, חנון וחמלן · אלוהות, אלהים	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
וכל רעות	4	5.68	מידה, מדידה · רצון, חפץ	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אתנו כפי	4	8.75	אתון, she-ass · פרנסה וכלכלה, תמיכה, א	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
הוא אלהי	4	1.7	היה, to be (intrans.) · אלוהות, God	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
נקמ אשר	4	2.77	נקם, avenge · דברים	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
רתומ וחנונ	4	10.01	(צורת פועל) רָטוּ · רחום, merciful	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
בנ נונ	4	7.44	בן (בפירוש בכתבי יד) · מחוקק, כינוי לכבוד למש	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
השלומ לעולמ	4	8.29	שלמות, מילוי, קיום · לנצח, לעולם	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
תשבח תה	4	11.57	פאר, תהילה · תה	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ובנימ כל	4	3.86	בנים, ילדים · כל, כולו	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
קעימ לעלמ	4	5.97	might · לעולם, לנצח	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ויתה נרחמ	4	15.53	אתה (כינוי גוף שני זכר · אהבה, חמלה	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
נרחמ ולה	4	15.21	אהבה, חמלה · האות השתים עשרה באלף ב	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ישתבח עבוד	4	6.32	ברוך · בורא, יוצר	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
גבורה ונוראה	4	13.51	גבורה, כוח גדול · דברים נוראים, מעשים נפ	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
נלמד בל	4	7.7	למד, to learn · דעת, שכל	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
לה ברוכ	4	3.73	האות השתים עשרה באלף ב · ברוך	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ברכו ושבחו	4	10.48	ברך · שבח, תהילה	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
דיקומ אלא חילה	4	17.26	שומע · מילית קישור: אם לא, אל · כוח, עוצמה	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
רחומ הרחומימ אל	4	13.92	רחום, חנון וחמלן · רחום, חנון וחמלן · אלוהות, אלהים	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
כל טוב וכל	4	9.34	כל, כולו · טוב · מידה, מדידה	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אשר אהיה מרי	4	8.92	דברים · קריאת פנייה, אהה · אדון (נאמר על האלוהים)	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ואלהי אבותינו אלהי	4	16.46	אלוהות, God · אָבוֹת · אלוהות, God	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אבותינו אלהי אברהמ	4	14.6	אָבוֹת · אלוהות, God · שם פרטי: אברהם	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
יומ נקמ אשר	4	11.39	יחידת זמן: יום, שבת · נקם, avenge · דברים	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אל רתומ וחנונ	4	16.78	אלוהות, אלהים · (צורת פועל) רָטוּ · רחום, merciful	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
חסד לאלפימ נשא	4	21.51	חסד, טובה, חן · לימוד, הוראה · נשא, הרים, סחב	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אבות ובנימ כל	4	16.76	אָבוֹת · בנים, ילדים · כל, כולו	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ובנימ כל ימי	4	15.05	בנים, ילדים · כל, כולו · שבועה, oath	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ויתה נרחמ ולה	4	31.06	אתה (כינוי גוף שני זכר · אהבה, חמלה · האות השתים עשרה באלף ב	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
נלמד בל ימי	4	18.88	למד, to learn · דעת, שכל · שבועה, oath	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
רבותה לה ברוכ	4	14.98	ריבוי, שפע, abundance · האות השתים עשרה באלף ב · ברוך	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
לה ברוכ אלהינו	4	13.27	האות השתים עשרה באלף ב · ברוך · אלוהות, God	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אהיה אשר אהיה מרי	4	16.93	קריאת פנייה, אהה · דברים · קריאת פנייה, אהה · אדון (נאמר על האלוהים)	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ואלהי אבותינו אלהי אברהמ	4	26.23	אלוהות, God · אָבוֹת · אלוהות, God · שם פרטי: אברהם	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אבותינו אלהי אברהמ ויצחק	4	26.5	אָבוֹת · אלוהות, God · שם פרטי: אברהם · לצחוק	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אלהי אברהמ ויצחק ויעקב	4	26.53	אלוהות, God · שם פרטי: אברהם · לצחוק · סוף, אחרית	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
נצר חסד לאלפימ נשא	4	34.84	להיות נתמך, נשמר · חסד, טובה, חן · לימוד, הוראה · נשא, הרים, סחב	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אבות ובנימ כל ימי	4	27.94	אָבוֹת · בנים, ילדים · כל, כולו · שבועה, oath	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ובנימ כל ימי דורות	4	28.44	בנים, ילדים · כל, כולו · שבועה, oath · שכינה, מגורים, בית	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
נלמד בל ימי חיינו	4	31.74	למד, to learn · דעת, שכל · שבועה, oath · קיום, חיים, עשייה למען	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
רבותה לה ברוכ אלהינו	4	24.52	ריבוי, שפע, abundance · האות השתים עשרה באלף ב · ברוך · אלוהות, God	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ונאמר בקול	4	9.07	נאמר (lit.: it is said · קול, דיבור, צו, הוראה	פיוט #10 — ב מימריו ן
אלהיט לכ	4	5.84	אלהיט · אותך	פיוט #10 — ב מימריו ן
לכ נרוממ	4	6.84	אותך · גובה	פיוט #10 — ב מימריו ן
ויקדש אתו	4	9.49	זנות פולחנית · אישה, woman	פיוט #10 — ב מימריו ן
ויאמר לו	4	2.54	1. אמירה, דיבור, מוצא  · ועד	פיוט #10 — ב מימריו ן
מזבח ליהוה	4	6.21	מזבח · יהוה, שם האלהים	פיוט #10 — ב מימריו ן
יש יהוה	4	3.51	יש, ישנו · יהוה, שם האלהים	פיוט #10 — ב מימריו ן
ויאמר אנכי	4	6.01	1. אמירה, דיבור, מוצא  · כינוי המדבר, גוף ראשון	פיוט #10 — ב מימריו ן
אלהי אבותיכ	4	5.84	אלוהות, God · אָבוֹת	פיוט #10 — ב מימריו ן
וזה זכרי	4	9.48	זה, this · זיכרון – remembering (	פיוט #10 — ב מימריו ן
החקה הזאת	4	11.36	חלק, מנה, הקצבה · זה, this	פיוט #10 — ב מימריו ן
כמוכ נאררי	4	11.25	כמוך · שאול מן העברית, הלוואה	פיוט #10 — ב מימריו ן
ונאמר בקול רמ	4	20.76	נאמר (lit.: it is said · קול, דיבור, צו, הוראה · מרומם, נישא	פיוט #10 — ב מימריו ן
אנכי אלהי אבותיכ	4	16.95	כינוי המדבר, גוף ראשון · אלוהות, God · אָבוֹת	פיוט #10 — ב מימריו ן
מי כמוכ נאררי	4	20.5	מילת שאלה לאדם: מי · כמוך · שאול מן העברית, הלוואה	פיוט #10 — ב מימריו ן
עדת בני	4	6.74	עד, כמקום (as far as)  · בני	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
זאת זכרונ	4	5.95	זה, this · זכרון, אזכרה	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
ביתו ובעד	4	10.11	בית · בעד (מילת יחס עברית וא	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
ובעד כל	4	4.3	בעד (מילת יחס עברית וא · כל, כולו	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
מקראי קרש	4	8.18	קורא, reader · להקפיא, להיקרש	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
המ מועדי	4	8.12	הכל · זימון ומועד, מינוי	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
וידבר משה	4	4.09	וידבר · משה (שם פרטי)	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
כל עדת בני	4	13.36	כל, כולו · עד, כמקום (as far as)  · בני	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
עדת בני ישראל	4	14.71	עד, כמקום (as far as)  · בני · ישראל, שמו של יעקב	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
אל משה כתב	4	10.43	אלוהות, אלהים · משה (שם פרטי) · כתב, לכתוב	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
משה כתב זאת	4	14.15	משה (שם פרטי) · כתב, לכתוב · זה, this	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
אל העמ ויאמר	4	12.01	אלוהות, אלהים · העם · 1. אמירה, דיבור, מוצא 	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
העמ ויאמר אליהמ	4	18.71	העם · 1. אמירה, דיבור, מוצא  · fat tail בבהמה, חלק אל	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
ובעד ביתו ובעד	4	23.64	בעד (מילת יחס עברית וא · בית · בעד (מילת יחס עברית וא	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
ובעד כל קהל	4	15.74	בעד (מילת יחס עברית וא · כל, כולו · ציבור, קיבוץ עם, gathe	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
כל עדת בני ישראל	4	21.33	כל, כולו · עד, כמקום (as far as)  · בני · ישראל, שמו של יעקב	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
אל משה כתב זאת	4	20.92	אלוהות, אלהים · משה (שם פרטי) · כתב, לכתוב · זה, this	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
ההר אל העמ ויאמר	4	24.22	ההר · אלוהות, אלהים · העם · 1. אמירה, דיבור, מוצא 	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
אל העמ ויאמר אליהמ	4	25.47	אלוהות, אלהים · העם · 1. אמירה, דיבור, מוצא  · fat tail בבהמה, חלק אל	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
וכפר בעדו ובעד ביתו	4	36.87	כפר, כפרה, ישוב · בעד (מילת יחס עברית וא · בעד (מילת יחס עברית וא · בית	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
בעדו ובעד ביתו ובעד	4	37.91	בעד (מילת יחס עברית וא · בעד (מילת יחס עברית וא · בית · בעד (מילת יחס עברית וא	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
תאבל מצות	4	11.36	אֵבֶל, עֵצֶב · הקשבה, שמיעה	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
יהיה עמכ	4	5.4	מהירות swiftness · עמך	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
ונקמ ישיב	4	12.1	נקם, avenge · ישיב	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
עליננ בחסדיכ	4	8.01	עלינו · טוב, גמילת טובה, חסד	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
יא רחמנה	4	6.87	יא · הרחמן	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
דיאנה קשיטה	4	11.3	שופט, דיין · צדקה, righteousness	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
נסב אפימ	4	11.95	לקח, נשא · פנים	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
לא טרפ	4	4.85	מילת שלילה והאיסור · 1. עלה (של עץ)	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
עליננ וסלח	4	6.93	עלינו · כפרה, סליחה, ניקוי	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
אה רחטנה	4	6.33	הנה · ריצה, מרוץ	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
ובשמכ ובכבודכ	4	14.36	שם (בן נח) · להכביד, לגרום לאדם להי	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
קבל מננ	4	7.04	נשא חטא, חובה, אשמה · מחוקק, כינוי לכבוד למש	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
בנ נימר	4	4.35	בן (בפירוש בכתבי יד) · 1. אמירה, דיבור, מוצא 	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
לבר מנ	4	2.13	מנהל הבית, אפוטרופוס · דברים	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
כל עובדיכ	4	3.62	כל, כולו · עשה, פעל	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
אה קמאה	4	4.7	הנה · בוז, ביזיון	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
בכל זבניה	4	7.32	כל, כולו · קנייה, רכישה בכסף	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
לנ נמליננ	4	9.24	עלינו · עשה	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
ולא תמי	4	6.86	מילת שלילה והאיסור · תם, ישר, עדין	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
תמי לנ	4	8.65	תם, ישר, עדין · עלינו	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
עבר לנ	4	4.55	עבר (intrans.) · עלינו	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
ששת ימימ תאבל	4	23.26	ששת · שבועה, oath · אֵבֶל, עֵצֶב	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
ימימ תאבל מצות	4	22.33	שבועה, oath · אֵבֶל, עֵצֶב · הקשבה, שמיעה	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
חג ליהוה אלהיכ	4	16.46	לחגוג, לחגוג חג · יהוה, שם האלהים · אלוהות, God	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
הוא ההלכ לפניכ	4	19.96	היה, to be (intrans.) · ללכת, לצעוד, ללכת · לפני, before	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
ונקמ ישיב לצריו	4	27.63	נקם, avenge · ישיב · מקום צר, מעבר צר	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
דבקנ ברחמיכ אה	4	15.81	חיבור והצמדה · אהבה, חמלה · הנה	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
ולא תמי לנ	4	16.1	מילת שלילה והאיסור · תם, ישר, עדין · עלינו	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
עבר לנ מרנ	4	14.25	עבר (intrans.) · עלינו · אדוננו	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
השביעי חג ליהוה אלהיכ	4	26.95	השביעי · לחגוג, לחגוג חג · יהוה, שם האלהים · אלוהות, God	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
חג ליהוה אלהיכ לא	4	23.39	לחגוג, לחגוג חג · יהוה, שם האלהים · אלוהות, God · מילת שלילה והאיסור	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
ליהוה אלהיכ לא תעשה	4	24.86	יהוה, שם האלהים · אלוהות, God · מילת שלילה והאיסור · לתווך בין שני עצמים המ	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
רחמנה אהיה אשר אהיה	4	18.33	הרחמן · קריאת פנייה, אהה · דברים · קריאת פנייה, אהה	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
לכל דרי	4	7.16	לכל · דורות	פיוט #13 — צלות מרקה
לעלמ את	4	1.81	לעולם, לנצח · אתה (כינוי גוף שני זכר	פיוט #13 — צלות מרקה
וטובכ ורחמיכ	4	10.11	gem, אבן טובה · אהבה, חמלה	פיוט #13 — צלות מרקה
אלא דת	4	4.32	מילית קישור: אם לא, אל · דת	פיוט #13 — צלות מרקה
מה אתה	4	1.11	מה · אישה, woman	פיוט #13 — צלות מרקה
לא תנשי	4	5.35	מילת שלילה והאיסור · לשכוח (forgetting)	פיוט #13 — צלות מרקה
יכל קעמ	4	7.92	יכול · might	פיוט #13 — צלות מרקה
ביד כל	4	2.05	ביד, על ידי (by, throu · כל, כולו	פיוט #13 — צלות מרקה
קעמ עמ	4	4.8	might · דוד, דודן	פיוט #13 — צלות מרקה
שומימ וארע	4	14.39	שמים (ברא שומים וארץ – · ארץ, אדמה	פיוט #13 — צלות מרקה
בחילה דו	4	7.5	כוח, עוצמה · דו	פיוט #13 — צלות מרקה
דו שליט	4	7.5	דו · שלטון, ממשל, גדולה ושר	פיוט #13 — צלות מרקה
ער מותר	4	7.35	הלא לבני לוט יהבת ית ע · מאוד	פיוט #13 — צלות מרקה
ומנ יכל	4	5.55	ומי · יכול	פיוט #13 — צלות מרקה
לית כלומ	4	4.1	שלילת קיום: אין, לא קי · 1. דבר, כלום, משהו (an	פיוט #13 — צלות מרקה
אחד אתהו	4	4.66	אחד · אתהו = הוא (משמש כפועל	פיוט #13 — צלות מרקה
רחמנה דרחמיכ	4	9.84	הרחמן · אהבה, חמלה	פיוט #13 — צלות מרקה
קשיטה דלא	4	7.73	צדקה, righteousness · בטרם, לפני	פיוט #13 — צלות מרקה
הו מעזר	4	7.45	מתחבר למלה שלפניו, כגו · עזרה, סיוע	פיוט #13 — צלות מרקה
סלוחה סוברה	4	13.27	מוחל, סולח עוונות · לסבול, לשאת (גוף שלישי	פיוט #13 — צלות מרקה
לכ לעלמ	4	1.33	אותך · לעולם, לנצח	פיוט #13 — צלות מרקה
נתרחצ בחילכ	4	12.35	ביטחון, בטחה (security · כוח, עוצמה	פיוט #13 — צלות מרקה
אתה וכנ	4	4.08	אישה, woman · כך, כן (ציון אופן)	פיוט #13 — צלות מרקה
תתנ לונ	4	7.47	נתינה ומסירה, הרשאה · להם	פיוט #13 — צלות מרקה
אלהימ קמאה	4	5.75	אלוהים, אל · בוז, ביזיון	פיוט #13 — צלות מרקה
לעלמ אלה	4	1.63	לעולם, לנצח · אלוהות, God	פיוט #13 — צלות מרקה
דקעמ על	4	4.9	might · על (מילת יחס)	פיוט #13 — צלות מרקה
ווילה דלא	4	8.05	אוי לו, ווי · בטרם, לפני	פיוט #13 — צלות מרקה
באצבע אש	4	8.86	באצבע · אש, להבה	פיוט #13 — צלות מרקה
לבה דאשתה	4	12.8	לבו · אש, להבה	פיוט #13 — צלות מרקה
סימנ רב	4	6.71	סימן, דגל, באנר · גדול	פיוט #13 — צלות מרקה
אתו כל	4	1.06	אישה, woman · כל, כולו	פיוט #13 — צלות מרקה
